id,name,num_followers,broadcaster_type,description,lang,last_game_played_name,view_count,profile_image_url,created_at,user_follows
27045041,ToadAmarillo,,affiliate,Vivan Warwick y Amumu - Jugador de Astralis SB,es,League of Legends,65665,https://static-cdn.jtvnw.net/jtv_user_pictures/25d906bb-2fdf-4f5d-9c1e-48bd5efe4caf-profile_image-300x300.png,2011-12-26T21:49:35Z,
183603801,T4nPoP,,partner,Mi máxima prioridad es el aprendizaje y diversión de mis viewers por lo que intentaré resolver todas las preguntas e interactuar con vosotr@s todo lo que pueda. Bienvenid@ a mi stream y pásalo bien! ,es,Teamfight Tactics,896989,https://static-cdn.jtvnw.net/jtv_user_pictures/b4c0128d-c3e7-4a55-9259-af8e2a7619a9-profile_image-300x300.png,2017-11-28T20:37:48Z,
193088909,ruizitosss,,partner,"- Me llamo Abraham, me dicen Ruiz pero tu puedes llamarme el amor de tu vida. Mi vida se basa en comer, jugar y dormir.- Jugador Profesional de WildRift para @teamquesogg. Challenger Mid :)",es,Call of Duty: Mobile,8684,https://static-cdn.jtvnw.net/jtv_user_pictures/819b4e6d-0aef-4af6-9c89-ead164ca6b34-profile_image-300x300.png,2018-01-26T18:33:31Z,
101941288,x3n_exe,,,Me gusta hablar y jugar..... demasiado,es,Legends of Runeterra,109,https://static-cdn.jtvnw.net/jtv_user_pictures/adfda9a6-6d79-4072-8c5a-fb05546da98a-profile_image-300x300.png,2015-09-11T13:54:40Z,
168920131,Dechuwu,,affiliate,Amante de los juegos de terror. Unéte a mis directos de Lunes a Sábado   (✯◡✯) ,es,VHS,178382,https://static-cdn.jtvnw.net/jtv_user_pictures/67908809-dfc7-4954-bcff-2c2bca7e3c3d-profile_image-300x300.png,2017-08-08T14:23:57Z,
233398214,TwitchPresentsES,,partner,,es,Twitch Presents,12613722,https://static-cdn.jtvnw.net/jtv_user_pictures/6d950ec0-74ed-486e-bc8c-c9b6f03b16c0-profile_image-300x300.png,2018-06-22T21:46:35Z,
433037685,LiaSikora,,partner,"Soy Lia, una chica de 19 años que reside en España, pero tiene nacionalidad alemana, por eso la cara de turista. Me encantan los videojuegos, no los juego profesionalmente pero si por diversión, me dedico a las RRSS, en ellas hago un poco de todo, te invito a que me sigas XD",es,Just Chatting,1890268,https://static-cdn.jtvnw.net/jtv_user_pictures/b3841713-eb90-47be-b4fd-6dfc9bfe58b0-profile_image-300x300.png,2019-04-29T17:28:09Z,
152633332,knekro,,partner,,es,League of Legends,52656052,https://static-cdn.jtvnw.net/jtv_user_pictures/5b73f4b998324548-profile_image-300x300.jpeg,2017-04-07T16:28:21Z,
176185839,carlags,,affiliate,"｡･:*:･ﾟ★,｡･:*:･ﾟ☆｡･:*:･ﾟ★,｡･:*:･ﾟ☆｡･:*:･ﾟ★,｡･:*:･ﾟ☆｡･:*:･ﾟ★,｡･:*:･ﾟ☆｡･:*:･ﾟ★,｡･:*:･ﾟ☆｡･:*:･ﾟ★,｡･:*:･ﾟ☆",es,Just Chatting,69295,https://static-cdn.jtvnw.net/jtv_user_pictures/42ed8527-3567-4234-89d5-f973a11bd1a4-profile_image-300x300.png,2017-10-01T19:51:14Z,
133520461,Aalasthor,,affiliate,,es,Marvel's Avengers,26172,https://static-cdn.jtvnw.net/jtv_user_pictures/b37ec4f1-d7cd-45b1-9117-134ac1bceebb-profile_image-300x300.png,2016-08-30T07:53:55Z,
79958965,Lusy,,affiliate,,es,Just Chatting,114210,https://static-cdn.jtvnw.net/jtv_user_pictures/028b6dbe-cf59-4d86-8928-7fe5e2c01375-profile_image-300x300.png,2015-01-16T14:55:25Z,
36473331,coscu,,partner,"Martin Pérez Disalvo alias Coscu, embajador de Nike y Lider de la Coscu Army.",es,Tetris Effect: Connected,80752494,https://static-cdn.jtvnw.net/jtv_user_pictures/4de1a3ee-1b98-4c6c-9ba8-01a1e45c9fb9-profile_image-300x300.png,2012-09-26T21:50:41Z,
495899004,NimuVT,,partner,"Hola soy Nimu Spacecat, tengo 23 años y a veces grito como chimpancé.",es,Just Chatting,8413998,https://static-cdn.jtvnw.net/jtv_user_pictures/5dfecb31-9033-48f8-885c-151c05689307-profile_image-300x300.png,2020-02-28T18:40:43Z,
180340265,Pauluna,,affiliate,"Hola~ Tengo 21 años soy muy mala en la mayoria de los juegos, pero lo intento uwu, hago gracia por los mil fails que tengo en cada directo, otaku a mucha honra, sois todos bienvenidos💖!  //Tengo una compu que está en el arrastre uwu",es,Marbles On Stream,34361,https://static-cdn.jtvnw.net/jtv_user_pictures/4c7544e9-3647-4232-af17-afcb92a19619-profile_image-300x300.png,2017-11-04T00:31:30Z,
132279966,tvandeR,,partner,Amigo de mis amigos (y de Ibai) ,es,Just Chatting,14865799,https://static-cdn.jtvnw.net/jtv_user_pictures/3554ea97-adf8-485f-9563-7817ff6b7064-profile_image-300x300.png,2016-08-15T17:58:51Z,
158037522,siphorel,,affiliate,"Me gustan los videojuegos, y pasar un buen rato con la gente.",es,League of Legends,1724,https://static-cdn.jtvnw.net/jtv_user_pictures/517f89b2-0ea1-4d46-8cfd-d668c9f66558-profile_image-300x300.png,2017-05-27T05:11:44Z,
127525499,zRaapTooR,,affiliate,Que onda pa?,es,Grand Theft Auto V,211178,https://static-cdn.jtvnw.net/jtv_user_pictures/1bfed16b-8bc2-437a-a4a5-8398992b626a-profile_image-300x300.png,2016-06-23T13:53:20Z,
